"NAME","TYPE","WHEN",latitude,longitude,"ADDRESS",zip,"call","FORWHOM"
"Ambassadors for Christ","Pantry","4th Saturday: 12:00 - 2:00",41.48882,-81.60308,"11501 Mt. Carmel Road",44104,"No Site Number Available","Open to Anyone"
"Greater Abyssinia Baptist Church","Pantry","3rd Saturday: 9:30 - 11:30",41.52534,-81.61542,"1161 East 105th Street",44108,"216-795-1842","Open to Anyone"
"Church of St. Rita (at the Thea Bowman Center)","Hot Meal","3rd Saturday: 12:00 - 1:00",41.4631,-81.59978,"11901 Oakfield Avenue",44105,"216-491-0699","Open to Anyone"
"Thea Bowman Center","Hot Meal","Saturdays: 12:00 - 1:00",41.4631,-81.59978,"11901 Oakfield Avenue",44105,"216-491-0699","44105 and 44120"
"Thea Bowman Center","Pantry","Saturdays: 1:00 - 2:00 & Last Tuesday: 6:00 - 7:00",41.4631,-81.59978,"11901 Oakfield Avenue",44105,"216-491-0699","44105 and 44120"
"Church of the Living God","Pantry","3rd Saturday: 10:00 - 12:00",41.48022,-81.59849,"12020 Buckeye Road",44104,"No Site Number Available","Open to Anyone"
"Bethany Baptist Church","Pantry","4th Saturday (3rd Saturday in November & December) : 7:30 - 10:00 AM",41.52412,-81.6154,"1211 East 105th Street",44108,"216-791-2673","44103, 44106, 44108 & 44110"
"New Cleveland Foodbasket","Pantry","Wednesdays & Thursdays: 10:00 - 2:00",41.4449,-81.59685,"12210 Miles Avenue",44105,"216-271-9271","Open to Anyone"
"Cooley Avenue Church of God","Pantry","3rd Saturday: 10:30 - 12:00",41.45392,-81.77469,"12401 Cooley Avenue",44111,"216-671-4619","Cleveland Residents"
"Cove United Methodist Church","Hot Meal","2nd Saturday: 5:30 - 7:00",41.49061,-81.77652,"12501 Lake Avenue",44107,"216-521-7424","Open to Anyone"
"Helping Hands of Philemon Community Baptist Church","Hot Meal","Sundays: 5:00 - 7:00; Mondays - Fridays: 10:00 - 12:00",41.54073,-81.59577,"12618 Shaw Avenue",44108,"216-268-5127","Open to Anyone"
"Philemon Community Baptist Church","Hot Meal","Tuesdays: 5:00 - 6:00",41.54073,-81.59577,"12618 Shaw Avenue",44108,"216-268-5127","Open to Anyone"
"St. Martin de Porres Family Center","Pantry","3rd Tuesday, 3rd Wednesday & 3rd Thursday: 9:00 - 12:00",41.52358,-81.60104,"1264 East 123rd Street",44108,"216-268-3909",44108
"Salvation Army - West Park","Pantry","Mondays - Thursdays: 9:00 - 11:30",41.4595,-81.77601,"12645 Lorain Avenue",44111,"216-252-3593","44102, 44107, 44111, 44116, 44126, 44129, 44130, 44134, 44135, 44136, 44140, 44142 and 44145"
"Mt. Nebo Missionary Baptist Church","Hot Meal","Fridays: 5:00 - 6:45",41.52325,-81.59536,"12701 Superior Avenue",44112,"216-761-3133","Open to Anyone"
"Walk of Faith Community Center","Hot Meal","Mondays - Fridays: 9:00 - 10:00",41.45879,-81.7782,"12833 Lorain Avenue",44111,"216-941-3270","Open to Anyone"
"Walk of Faith Community Center","Pantry","Wednesdays: 5:30 - 7:30",41.45879,-81.7782,"12833 Lorain Avenue",44111,"216-941-3270","44111 & 44135"
"Mt. Nebo Missionary Baptist Church","Pantry","4th Friday: 8:00 - 11:00",41.52316,-81.59386,"12919 Superior Avenue",44112,"216-761-3133","Open to Anyone"
"St. Luke / Grace Lutheran Community Meal","Hot Meal","3rd Monday: 5:00 - 7:00",41.47726,-81.78002,"13030 Madison Avenue",44107,"216-221-4959","Open to Anyone"
"Calvary Lutheran Church","Pantry","Tuesdays & Thursdays: 2:30 - 5:30; Saturdays: 8:30 - 11:30",41.52107,-81.59172,"13101 Euclid Avenue",44112,"216-451-1151",44112
"Church of the Ascension","Hot Meal","2nd Thursday: 5:00 - 6:00",41.48482,-81.781,"13216 Detroit Avenue",44107,"216-521-8727","Open to Anyone"
"Word of Righteousness Family Life Center","Pantry","1st Saturday: 12:00 - 2:00",41.43023,-81.58892,"13455 Dressler Avenue",44125,"216-365-3336","44105, 44125, 44137, 44146"
"St. Edward High School Community Meal","Hot Meal","4th Wednesday: 6:00",41.48667,-81.78334,"13500 Detroit Avenue",44107,"216-221-3776 x592","Open to Anyone"
"Gethsemane Apostolic Faith Church","Pantry","2nd Saturday: 1:00 - 3:00",41.44914,-81.58813,"13515 Harvard Avenue",44105,"216-295-2501",
"Lakewood Congregational Church","Hot Meal","1st Wednesday: 5:30 - 7:00",41.48483,-81.82226,"1375 West Clifton Boulevard",44107,"216-221-9555","Cleveland & Lakewood"
"H.E.L.P. Ministry - Greater Faith Missionary Baptist Church","Hot Meal","2nd & 4th Saturdays: 12:00 - 3:00",41.54861,-81.58558,"13816 St. Clair Avenue",44110,"216-541-5505","Open to Anyone"
"Father Mike Wittman Ozanam Center (at St. Philomena Parish)","Pantry","Saturdays: 10:00 - 1:00",41.52609,-81.58584,"13824 Euclid Avenue",44112,"216-541-3540","44106, 44108, 44110, 44112, 44118, 44121 & 44143"
"Blessed Trinity Catholic Church","Hot Meal","2nd Sunday: 12:30 - 1:30 (closed if the 2nd Sunday is a holiday)",41.43361,-81.79096,"14040 Puritas Avenue",44135,"216-671-5890","Open to Anyone"
"Zion Pentecostal Church of Christ","Pantry","2nd & 4th Thursdays: 11:30 - 1:30",41.4487,-81.58346,"14102 Harvard Avenue",44128,"No Site Number Available","Open to Anyone"
"Lakewood Community Services Center","Pantry","Mondays - Fridays: 10:00 - 2:00 & Wednesdays: 5:30 - 7:30 PM",41.47742,-81.79249,"14230 Madison Avenue",44107,"216-226-6466","Lakewood, Rocky River & Westlake"
"New Covenant Lutheran Church","Pantry","Mondays  Wednesdays & Fridays: 11:00 – 2:00",41.53903,-81.58698,"1424 Hayden Avenue",44112,"216-541-1665","Open to Anyone"
"Beth El AME Zion Church","Hot Meal","1st  2nd & 3rd Wednesdays: 4:00 – 6:00",41.51889,-81.60965,"1428 East 110th Street",44106,"216-421-1953","Open to Anyone"
"Lakewood Presbyterian Church","Hot Meal","Last Sunday: 11:30 - 2:00",41.48575,-81.79586,"14502 Detroit Road",44107,"216-226-0514","Open to Anyone"
"Starlight Baptist Church","Pantry","4th Wednesday: 4:00 - 6:00",41.53149,-81.58015,"14516 Euclid Avenue",44112,"216-541-6825",44112
"Our Family Home Center","Hot Meal","Thursdays: 11:00 - 1:00",41.53281,-81.57954,"14681 Euclid Avenue",44112,"216-375-9400","Open to Anyone"
"D'Jakes Community Resources","Pantry","Tuesdays & Thursdays: 10:00 - 12:00",41.53292,-81.57941,"14715 Euclid Avenue",44112,"216-486-8464",
"Greater Bethel A.M.E. Church","Pantry","3rd Saturday: 2:00 - 4:00",41.56604,-81.5784,"14735 Thames Avenue",44110,"216-541-2628","Open to Anyone"
"Beulah Baptist Church of Collinwood","Pantry","2nd Thursday: 4:00 - 6:00",41.55979,-81.5779,"14912 Saranac Road",44110,"216-451-5477","Open to Anyone"
"Imani Church","Pantry","2nd & 4th Saturdays: 10:00 - 1:00",41.588,-81.50268,"1505 East 260th Street",44132,"216-732-8204",44132
"Bread Basket","Pantry","Tuesdays: 5:30 - 7:30 & Thursdays: 1:30 - 3:30",41.45696,-81.80067,"15135 Triskett Road",44111,"216-251-0782","Within this area: Lakewood border, West 117th Street, Lorain Avenue and Fairview Park border. They also serve Fairview Park."
"Collinwood Area Church Council","Pantry","Mondays  Wednesdays & Fridays: 11:45 – 2:30",41.57414,-81.57517,"15220 Lakeshore Boulevard",44110,"216-531-1156","44110 & 44119"
"St. Mary's Hot Meal Program","Hot Meal","2nd & Last Mondays: 6:00 - 7:00",41.56067,-81.57323,"15519 Holmes Avenue",44110,"216-761-7740","Open to Anyone"
"Lakewood United Methodist Church","Hot Meal","4th Tuesday: 6:00 - 7:00",41.48577,-81.80769,"15700 Detroit Avenue",44107,"216-226-8644","Open to Anyone"
"Dunham Avenue Christian Church","Hot Meal","Saturdays: 4:30 - 5:30",41.50909,-81.64435,"1629 East 66th Street",44103,"216-432-1234","Open to Anyone"
"Dunham Avenue Christian Church","Pantry","Last Saturday: 10:00 - 12:00",41.50909,-81.64435,"1629 East 66th Street",44103,"216-432-1234","Open to Anyone"
"Calvary United Methodist Church","Hot Meal","3rd Tuesday: meal starts at 5:30",41.47591,-81.81131,"16305 Hilliard Road",44107,"216-221-4324","Open to Anyone"
"Victory Nazarene Share Ministry","Hot Meal","Thursdays: Meal Starts at 5:30",41.51452,-81.65252,"1632 East 55th Street",44103,"216-881-3115","Open to Anyone"
"Victory Nazarene Share Ministry","Pantry","3rd Saturday: 11:00 - 2:00",41.51452,-81.65252,"1632 East 55th Street",44103,"216-881-3115",44103
"Trinity Lakewood Community Outreach","Pantry","1st Saturday: 9:30 - 12:30 & 2nd Sunday: 2:30 - 5:30",41.48534,-81.81151,"16400 Detroit Avenue",44107,"216-226-8087","Cleveland and Lakewood"
"Trinity Lutheran Church Community Outreach","Hot Meal","1st Monday: 6:00 - 7:30; 1st Saturday: Noon; 3rd Saturday: 12:00 - 1:00 & 2nd Sunday: 4:00 - 5:30",41.48534,-81.81151,"16400 Detroit Avenue",44107,"216-226-8087","Westside of Cleveland and Lakewood"
"Corinthian Baptist Church","Pantry","Tuesdays & Thursdays: 10:00 - 1:00",41.51443,-81.65125,"1643 East 55th Street",44103,"216-391-3688",
"Faith Lutheran Church","Hot Meal","2nd Monday: 5:30 - 7:00",41.47558,-81.81198,"16511 Hilliard Road",44107,"216-226-6500","Open to Anyone"
"Grace Presbyterian Church","Hot Meal","Last Thursday: 5:30 - 7:00",41.47881,-81.80797,"1659 Rosewood Avenue",44107,"216-228-6060","Open to Anyone"
"Southeast Seventh Day Adventist Church","Pantry","3rd Sunday: 2:00 - 4:00",41.43121,-81.56363,"16602 Tarkington Avenue",44128,"216-662-3080","Open to Anyone"
"Lee Seville / Miles Hunger Center","Pantry","Mondays & Wednesdays: 11:00 - 1:00",41.4391,-81.56286,"16718 Miles Avenue",44128,"216-752-9384","44128, Garfield Heights & Warrensville Heights"
"Brook Park Community Church of the Brethren","Pantry","Mondays: 11:00 - 2:00 & Thursdays: 4:00 - 7:00",41.3949,-81.81632,"16845 Holland Road",44142,"216-433-1515","Open to Anyone"
"Maple Heights Pantry","Pantry","Tuesdays: 12:00 - 3:00; Wednesdays: 9:00 - 12:00 & Thursdays: 4:30 - 7:30",41.40781,-81.56012,"17100 Broadway Avenue",44137,"216-365-2842","Maple Heights"
"Bishop William Cosgrove Center","Hot Meal","Mondays - Fridays: Breakfast: 8:00 - 9:00 & Lunch: 12:00 - 3:00",41.5059,-81.68124,"1736 Superior Avenue",44114,"216-781-8262","Open to Anyone"
"Bishop William Cosgrove Center","Pantry","3rd Wednesday & 3rd Friday: 9:00 - 10:30",41.5059,-81.68124,"1736 Superior Avenue",44114,"216-781-8262","44114 & 44115"
"Care on the Square","Hot Meal","1st  3rd 4th & 5th Saturdays: 12:00",41.50465,-81.68013,"1744 Payne Avenue",44114,"440-546-1120","Open to Anyone"
"Collinwood Area Church Council #3 – Grovewood","Hot Meal","Wednesdays: 5:30 - 6:30 & Saturdays: 12:00 -1:00",41.57591,-81.55746,"17625 Grovewood Avenue",44119,"216-692-1388","Open to Anyone"
"Salvation Army - Temple Corps","Pantry","Mondays - Thursdays: 9:00 - 11:30",41.57591,-81.55746,"17625 Grovewood Avenue",44119,"216-692-1388","44110, 44112, 44117,44118, 44119, 44121, 44123, 44124, 44132, 44143 and Collinwood"
"Harvard Community Service Center","Pantry","Tuesdays: 9:00 - 12:00; Wednesdays: 9:00 -12:00 & Thursdays: 1:00 - 3:00",41.44974,-81.55106,"18240 Harvard Avenue",44128,"216-991-8585","44105, 44120, 44122 & 44128"
"Collinwood Area Church Council #2 - Nottingham","Pantry","Tuesdays & Thursdays: 12:00 - 3:00",41.57152,-81.55119,"18316 St. Clair Avenue",44110,"216-481-4827","Collinwood - Nottingham"
"Temple Baptist Church","Pantry","3rd Saturday: 11:30 - 1:30",41.54156,-81.56646,"1862 Noble Road",44112,"216-249-7000","44108, 44110, 44112, 44118, 44121 and 44143"
"Second Ebenezer Missionary Baptist Church","Hot Meal","2nd  3rd & 4th Mondays: 5:00 – 7:00",41.50688,-81.63945,"1881 East 71st Street",44103,"216-391-2100","Open to Anyone"
"Second Ebenezer Missionary Baptist Church","Pantry","2nd & 4th Saturdays: 10:00 - 12:00",41.50688,-81.63945,"1881 East 71st Street",44103,"216-391-2100","Open to Anyone"
"Maple Heights United Methodist Church","Hot Meal","4th Thursday: 6:00 - 8:00",41.41686,-81.54762,"18900 Libby Road",44137,"216-663-6868","Open to Anyone"
"THE WORD Church","Pantry","Saturdays: 10:00 - 12:00 & 1:00 - 3:00",41.43111,-81.54697,"18903 South Miles Road",44128,"216-332-9673","Bedford, Bedford Heights, Garfield Heights, Maple Heights & Warrensville Heights"
"Euclid Foursquare Church","Pantry","4th Saturday: 12:00 - 2:00",41.55842,-81.54727,"18950 Euclid Avenue",44117,"216-531-3040",44117
"Semach Sedek R.I.A.S.","Pantry","Thursdays: 6:00 - 7:00",41.50361,-81.51991,"2004 South Green Road",44121,"216-382-7202","Beachwood, Cleveland Heights, South Euclid & University Heights"
"Shaker Heights Community Hunger Center","Pantry","Last 2 Mondays & Wednesdays: 10:00 - 2:00",41.46263,-81.5382,"20120 Lomond Boulevard",44122,"216-561-8358","Primarily Shaker and East to Moreland Hills"
"Calvary Presbyterian Church","Pantry","3rd Saturday: 10:30 - 12:00",41.50332,-81.6336,"2020 East 79th Street",44103,"216-391-8448","Open to Anyone"
"Trinity Evangelical Lutheran Church","Hot Meal","Last 2 Saturdays: 4:30 - 5:30",41.48179,-81.70646,"2031 West 30th Street",44113,"216-281-1700","Westside and Southside of Cleveland, Downtown, Slavic Village"
"Trinity Evangelical Lutheran Church","Pantry","Last 2 Saturdays: 9:00 - 12:30",41.48179,-81.70646,"2031 West 30th Street",44113,"216-281-1700","Westside and Southside of Cleveland, Downtown, Slavic Village"
"Body of Christ Assembly","Pantry","4th Wednesday: 5:00 - 7:00",41.42873,-81.53535,"20900 Miles Parkway",44128,"216-475-6327","Open to Anyone"
"Lane Central Hunger Center","Pantry","Mondays, Wednesdays & Fridays: 10:30 - 12:30",41.49973,-81.65416,"2131 East 46th Street",44103,"216-391-1108","Within this area: Central Avenue, Cedar Avenue, Carnegie Avenue & Euclid Avenue"
"St. Vincent de Paul Pantry","Pantry","Tuesdays,  Thursdays & Saturdays: 10:00 – 1:00",41.43771,-81.69901,"2145 Broadview Road",44109,"216-644-7610","44102, 44109, 44129, 44130, 44134, 44142, and 44144"
"Our Savior Lutheran Church","Pantry","3rd Saturday: 11:00 - 1:30",41.50431,-81.43858,"2154 SOM Center Road",44124,"440-442-4455","Serve the Mayfield City
School District, which is Gates Mills, Highland Heights, Mayfield Heights and Mayfield Village. They do not serve Lyndhurst, even though it is part of the same ZIP Code."
"St. Andrew's Episcopal Church","Hot Meal","2nd & 3rd Fridays: 5:00 - 7:00",41.49887,-81.65306,"2171 East 49th Street",44103,"216-391-2632","Open to Anyone"
"Fifth Church of God","Hot Meal","1st & 3rd Saturdays: 3:00 - 5:00",41.49859,-81.6599,"2182 East 38th Street",44115,"216-432-2245","Open to Anyone"
"Trinity Cathedral","Hot Meal","Sundays: 12:00 - 1:00",41.50157,-81.67487,"2230 Euclid Avenue",44115,"216-774-0425","Open to Anyone"
"St. John Cantius Hunger Center","Pantry","Tuesdays & Thursdays: 9:00 - 12:00",41.48096,-81.6872,"2265 West 10th Street",44113,"216-781-9095","44113 and Within this area: Clark Avenue, Abbey Road, I-90 and West 5th Street"
"East Shore United Methodist Church - Soup's On!","Hot Meal","Wednesdays: 5:00 - 6:00",41.61264,-81.52116,"23002 Lakeshore Boulevard",44123,"216-261-1688","Open to Anyone"
"Iglesia Nueva Vida - Free Methodist Church","Pantry","2nd & 4th Saturdays: 9:00 - 12:00",41.46706,-81.69904,"2327 Holmden Avenue",44109,"216-741-0511","Cuyahoga County"
"Project Hope","Pantry","Mondays - Fridays: 8:30 - 3:30 (By Appointment)",41.42049,-81.67863,"233 Tuxedo Avenue",44131,"216-739-3702","Brooklyn Heights"
"Faith Community Center","Hot Meal","Wednesdays: 11:30 - 1:00; Thursdays: 11:30 - 12:30 & Saturdays: 2:30 - 3:00",41.49511,-81.65123,"2355 East 55th Street",44104,"216-881-8816","Open to Anyone"
"Friendly Inn Settlement","Pantry","Wednesdays: 12:00 - 2:00 & Thursdays: 10:00 - 12:00",41.49624,-81.65503,"2386 Unwin Road",44104,"216-431-7656","Residents of Carver Park, King Kennedy & Outhwaite Homes"
"THE WORD Church (at Friendly Inn)","Hot Meal","4th Thursday: 6:00 - 8:00",41.49624,-81.65503,"2386 Unwin Road",44104,"216-332-9673","Open to Anyone"
"Bay Presbyterian Church (at St. Malachi's)","Hot Meal","Saturdays: 7:30 - 10:00 a.m.",41.49249,-81.70754,"2459 Washington Avenue",44113,"216-526-9597","Open to Anyone"
"Boulevard Presbyterian Church","Hot Meal","3rd Sunday: 1:00 - 3:00",41.61682,-81.51143,"24600 Lakeshore Boulevard",44123,"216-731-8147","Open to Anyone"
"Imani Temple Ministries","Pantry","4th Thursday: 3:00 - 6:00",41.5239,-81.55527,"2463 North Taylor Road",44118,"216-231-9902","Open to Anyone"
"Workmen's Circle Educational Center","Pantry","Tuesdays - Fridays: 10:00 - 1:00 (By Appointment); 3rd Thursday: 10:00 - 2:00 for walk ins",41.51614,-81.56988,"2490 Lee Boulevard",44118,"216-381-4515","44106, 44110, 44112, 44118, 44121, 44122, 44124 & 44143"
"Bay Food Ministry","Pantry","Last Friday: 10:00 - 12:00",41.48439,-81.90019,"25415 Lake Road",44140,"440-871-3822","Bay Village"
"Pilgrim Congregational Church","Pantry","Tuesdays & Thursdays: 10:00 - 12:00",41.47691,-81.69186,"2592 West 14th Street",44113,"216-861-7388","44109 & 44113"
"Bethlehem Temple of Praise Church","Pantry","3rd Saturday: 12:00 - 2:00",41.45259,-81.70198,"2607 Archwood Avenue",44109,"216-335-9115",
"Refuge Family Worship Center","Pantry","1st Saturday: For Emergencies & 3rd Saturday: 10:00 - 1:00",41.59284,-81.49975,"26219 Tungsten Road",44132,"216-338-6414","Open to Anyone"
"God's House of Prayer","Pantry","3rd Saturday: 8:30 - 11:00",41.48719,-81.61558,"2632 Woodhill Road",44104,"216-229-5606",44104
"Greater Mount Tabor Missionary Baptist Church","Pantry","3rd Saturday: 11:00 - 1:00",41.48685,-81.62195,"2646 East 93rd Street",44104,"216-231-1150",44104
"Zion United Church of Christ","Hot Meal","Saturdays: 4:30 - 5:30",41.47577,-81.69137,"2716 West 14th Street",44113,"216-861-2371",44113
"Zion United Church of Christ","Pantry","4th Saturday: 1:00 - 3:00",41.47577,-81.69137,"2716 West 14th Street",44113,"216-861-2371",44113
"New Zion Gospel Church","Pantry","4th Saturday (3rd Saturday in November & December; Closed in January): 11:00 - 1:00",41.48436,-81.62419,"2747 East 90th Street",44104,"216-421-5355","Open to Anyone"
"East End Senior Center","Pantry","2nd Friday: 10:00 - 1:00 (Seniors Only)",41.48338,-81.61743,"2749 Woodhill Road",44104,"216-791-9378","44103, 44104, 44105 & 44120"
"New Life Gospel Center","Pantry","2nd & 3rd Thursdays: 11:30 - 1:00",41.48124,-81.61029,"2856 Martin Luther King Jr.Drive",44104,"216-791-6800","Open to Anyone"
"Euclid Hunger Task Force","Pantry","Wednesdays & Saturdays: 10:00 - 1:00",41.60847,-81.52656,"291 East 222nd Street",44123,"216-731-3329","Euclid"
"Redeemer Crisis Center","Pantry","Mondays, Wednesdays & Fridays: 10:00 - 1:00; 2nd Sunday: 4:00 - 6:00",41.47188,-81.70172,"2970 West 30th Street",44113,"216-631-6434","Within this area: I-90, Trowbridge Avenue, Storer Avenue, West 65th Street, Railroad Tracks/Cuyahoga River"
"Abundance Food Pantry","Pantry","Tuesdays & Thursdays: 1:00 - 3:00",41.51991,-81.56915,"3031 Monticello Boulevard",44118,"216-321-2660","44106, 44108, 44110, 44112, 44118, 44120 and 44121"
"St. Michael the Archangel - St. Procop Pantry Program","Pantry","Mondays, Tuesdays, Thursdays & Fridays: 1:00 - 3:00",41.46947,-81.69747,"3114 Scranton Road",44109,"216-621-3847","44103 and 44109"
"St. Michael the Archangel","Hot Meal","Last Sunday (or Sunday before if last is a holiday): 1:30 - 2:30",41.46889,-81.69711,"3115 Scranton Road",44109,"216-621-3847","Open to Anyone"
"West Side Catholic Center","Hot Meal","Mondays - Fridays; 12:00 - 12:45; Saturdays: 9:00 - 10:00 & 4:30 - 5:30",41.48239,-81.70744,"3135 Lorain Avenue",44113,"216-631-4741","Open to Anyone"
"West 58th Street Church of God","Pantry","1st Saturday: 9:00 - 12:00",41.46838,-81.72598,"3150 West 58th Street",44102,"216-281-2958",44102
"Solon Rotary Club","Pantry","4th Tuesday: 4:00 - 6:00",41.40933,-81.4519,"32001 Cannon Road",44139,"440-349-6363",
"Quinn Chapel","Pantry","2nd  4th & 5th Wednesdays: 11:00 – 1:00",41.46979,-81.59149,"3241 East 130th Street",44120,"216-752-4803","Open to Anyone"
"Golgotha Baptist Church","Hot Meal","1st  2nd 3rd & 4th Fridays: 5:00 - 6:00",41.4703,-81.62158,"3250 East 93rd Street",44104,"216-441-4224","Open to Anyone"
"Golgotha Baptist Church","Pantry","2nd & 4th Tuesdays: 10:00 - 12:00",41.4703,-81.62158,"3250 East 93rd Street",44104,"216-441-4224","Open to Anyone"
"Iglesia Sinai","Pantry","Last Wednesday: 4:00 - 6:00",41.4661,-81.6987,"3256 Scranton Road",44109,"216-398-6308","Open to Anyone"
"United Hearts Life Mission Center","Pantry","Mondays, Wednesdays & Fridays: 9:00 - 12:00 & 1:00 - 3:00",41.44001,-81.70217,"3339 Broadview Road",44109,"216-459-9839","44102, 44109, 44111, 44113, 44114, 44115, 44127, 44134 and 44144"
"Christ Episcopal Church","Hot Meal","3rd Saturday: 12:00 - 1:00",41.4658,-81.53618,"3445 Warrensville CenteR Road",44122,"216-991-3432","Open to Anyone"
"New Sardis Primitive Baptist Church","Pantry","2nd & 4th Tuesdays: 9:30 - 11:30 (Closed in August)",41.46579,-81.57911,"3474 East 147th Street",44122,"216-921-1912","Open to Anyone"
"New Freedom Ministries","Hot Meal","2nd & 4th Saturdays: 3:00 - 6:00",41.46461,-81.5753,"3476 East 152nd Street",44120,"216-295-1530","Mount Pleasant"
"Mount Haven Baptist Church","Pantry","Tuesdays: 11:30 - 1:00 & Saturdays: 10:00 - 11:30",41.4649,-81.60744,"3484 Martin Luther King Jr Drive",44104,"216-441-2770","Open to Anyone"
"Mercy Seat Mission","Hot Meal","Mondays, Wednesdays & Last Friday: Meal Served at Noon",41.44282,-81.70721,"3510 Broadview Road",44109,"216-749-7778","Open to Anyone"
"Church on the Rise","Pantry","1st & 3rd Sundays: 11:00 - 1:00",41.42809,-81.95249,"3550 Crocker Road",44145,"440-808-0200","Westlake and Surrounding Communities"
"Community of Faith","Hot Meal","Sundays: 7:00 - 8:00 AM",41.54773,-81.60171,"356 Eddy Road",44108,"216-956-5206","Open to Anyone"
"St. Patrick's Church","Hot Meal","Tuesdays  Wednesdays & Thursdays: 4:30 – 6:30",41.48318,-81.71149,"3610 Bridge Avenue",44113,"216-281-5854","Open to Anyone"
"WSEM Food Center at Near West Food & Family Service Center (at St. Patrick's Church)","Pantry","Mondays  Wednesdays & Fridays: 10:00 – 2:00",41.48318,-81.71149,"3610 Bridge Avenue",44113,"216-281-5854","44102 & 44113"
"Heights Emergency Food Center","Pantry","Mondays: 4:00 - 6:00; Tuesdays & Fridays: 9:00 -11:30; Thursdays: 9:00 - 2:30 plus last 2 Thursdays: 5:30 - 7:30",41.52114,-81.54911,"3663 Mayfield Road",44121,"216-381-0707","Cleveland Heights, Lyndhurst, South Euclid & University Heights"
"Saints Robert & William Parish","Hot Meal","Last Tuesday: 5:30 - 6:30",41.61761,-81.50238,"367 East 260th Street",44132,"216-731-1515","Open to Anyone"
"Triedstone Community Care Center","Pantry","Tuesdays & Thursdays: 10:00 - 1:00",41.49324,-81.66119,"3782 Community CollegeAvenue",44115,"216-432-9749","Within this area: East 22nd Street, Central Avenue, East 40th Street & Woodland Avenue "
